,timestamp,open,high,low,close,volume
652,2023-01-04 14:00:00,384.83,385.33,383.95,384.14,2300499
651,2023-01-04 14:30:00,384.26,385.56,381.2,381.49,9443294
650,2023-01-04 15:00:00,381.5,383.35,381.14,383.2301,5715893
649,2023-01-04 15:30:00,383.26,384.08,382.62,382.765,4574282
648,2023-01-04 16:00:00,382.76,383.99,381.2163,383.74,13518329
647,2023-01-04 16:30:00,383.7,383.95,383.32,383.42,8127110
646,2023-01-04 17:00:00,383.42,383.76,383.15,383.42,658078
645,2023-01-04 17:30:00,383.31,383.88,383.29,383.76,133159
644,2023-01-04 18:00:00,383.78,383.8006,383.61,383.61,40796
643,2023-01-04 18:30:00,383.45,383.61,383.38,383.6,60953
642,2023-01-04 19:00:00,383.63,383.87,383.63,383.63,53398
641,2023-01-04 19:30:00,383.55,383.75,383.42,383.7,19560
640,2023-01-04 20:00:00,383.7,383.7,383.34,383.37,52168
639,2023-01-05 04:30:00,383.0,383.42,382.52,383.25,19688
638,2023-01-05 05:00:00,383.34,383.6,383.01,383.6,10242
637,2023-01-05 05:30:00,383.64,384.1,383.59,383.87,20556
636,2023-01-05 06:00:00,383.93,384.32,383.83,384.08,11123
635,2023-01-05 06:30:00,384.12,384.6,384.08,384.3,23794
634,2023-01-05 07:00:00,384.37,384.71,384.14,384.29,51209
633,2023-01-05 07:30:00,384.28,384.56,384.06,384.44,103028
632,2023-01-05 08:00:00,384.35,384.92,383.8,383.88,115092
631,2023-01-05 08:30:00,384.24,384.9,382.2,382.67,433363
630,2023-01-05 09:00:00,382.78,382.78,381.4,381.71,593762
629,2023-01-05 09:30:00,381.66,381.74,380.88,381.67,847163
628,2023-01-05 10:00:00,381.72,381.76,378.89,380.12,9280168
627,2023-01-05 10:30:00,380.13,381.84,379.64,380.23,7441155
626,2023-01-05 11:00:00,380.235,380.7,379.28,379.39,6195856
625,2023-01-05 11:30:00,379.4,380.34,378.76,379.305,4378244
624,2023-01-05 12:00:00,379.2899,380.12,379.13,379.3,3319892
623,2023-01-05 12:30:00,379.29,380.19,379.095,379.75,2674130
622,2023-01-05 13:00:00,379.7399,380.45,379.335,379.42,2226763
621,2023-01-05 13:30:00,379.435,381.43,379.04,380.77,4933987
620,2023-01-05 14:00:00,380.77,381.47,380.34,380.57,4185810
619,2023-01-05 14:30:00,380.58,381.07,380.06,380.18,2907561
618,2023-01-05 15:00:00,380.19,381.71,380.15,380.8009,2719538
617,2023-01-05 15:30:00,380.82,380.82,379.39,379.62,4213407
616,2023-01-05 16:00:00,379.63,379.955,378.915,379.4,10256999
615,2023-01-05 16:30:00,379.44,379.8,379.27,379.76,6364521
614,2023-01-05 17:00:00,379.79,379.84,379.65,379.76,222023
613,2023-01-05 17:30:00,379.74,379.77,379.4,379.4,40160
